dataset,categoria,organizacion,formato,filas,columnas,modificado,frecuencia_update,descripcion_ciudadana,tags_sugeridos,comp_completitud_global_pct,acc_score_accuracy_pct,cons_score_consistency_pct,uniq_score_uniqueness_pct,time_score_timeliness_pct,doc_score_documentation_pct,open_score_openness_pct,score_global
listado-cendis,Sin categoría,Fideicomiso BP3417 CENDIS,.CSV,13,11,2026-04-17T17:25:58.512403,,,[],100.0,94.55,100.0,100.0,100.0,80.0,60.0,93.84
listado-de-escuelas,Sin categoría,Secretaría de Educación del Estado de Nuevo León,.CSV,1344,11,2026-04-15T22:25:48.551360,,,[],100.0,100.0,100.0,100.0,99.89,80.0,60.0,95.19
prepa-abierta,Sin categoría,Secretaría de Educación del Estado de Nuevo León,.CSV,125,6,2026-04-15T22:25:03.942204,,,[],99.2,92.5,99.5,100.0,99.89,80.0,60.0,93.0
prepa-abierta,Sin categoría,Secretaría de Educación del Estado de Nuevo León,.CSV,16366,6,2026-04-15T22:25:03.942204,,,[],0.03,94.17,100.0,0.0,99.89,80.0,60.0,55.75
solicitudes-de-informacion-fid-2284-tren-suburbano,Atención Ciudadana,"Fideicomiso No. 2284 ""Tren Suburbano Villa García-Aeropuerto de Monterrey, Primera fase, Etapa 1""",CSV,16,14,2026-04-15T22:18:23.504616,,,[],14.29,91.79,100.0,0.0,99.89,60.0,100.0,60.23
solicitudes-de-informacion-fid-2284-tren-suburbano,Atención Ciudadana,"Fideicomiso No. 2284 ""Tren Suburbano Villa García-Aeropuerto de Monterrey, Primera fase, Etapa 1""",CSV,13,6,2026-04-15T22:18:23.504616,,,[],100.0,95.0,100.0,100.0,99.89,60.0,100.0,94.74
solicitudes-de-informacion-linea3,Sin categoría,"Fideicomiso No. 2209 ""Línea 3 del Sistema de Transporte Colectivo Metrorrey""",.CSV,69,14,2026-04-13T19:15:39.337485,,,[],13.25,90.36,100.0,0.0,99.78,60.0,60.0,56.75
solicitudes-de-informacion-linea3,Sin categoría,"Fideicomiso No. 2209 ""Línea 3 del Sistema de Transporte Colectivo Metrorrey""",.CSV,13,6,2026-04-13T19:15:39.337485,,,[],100.0,95.0,100.0,100.0,99.78,60.0,60.0,91.94
contrataciones-abiertas-direccion-general-de-adquisiciones-y-servicios,Administración y Finanzas,Secretaría de Administración,JSON,8148,26,2026-04-13T17:09:33.804362,,,[],96.48,95.38,77.92,100.0,99.78,80.0,100.0,92.47
solicitudes-de-acceso-a-la-informacion-recibidas-en-la-administracion-publica-estatal,Administración y Finanzas,Contraloría y Transparencia Gubernamental,CSV,21,2,2026-04-13T15:25:02.284885,,,[],95.24,100.0,100.0,100.0,99.78,70.0,100.0,95.56
solicitudes-de-acceso-a-la-informacion-recibidas-en-la-administracion-publica-estatal,Administración y Finanzas,Contraloría y Transparencia Gubernamental,CSV,28107,21,2026-04-13T15:25:02.284885,,,[],71.13,97.38,98.0,63.98,99.78,70.0,100.0,84.49
estadistica-de-quejas-peticiones-sugerencias-y-o-reconocimientos-del-sistema-opinared,Asistencia Social,Contraloría y Transparencia Gubernamental,CSV,21,2,2026-04-07T16:14:24.159421,,,[],78.57,92.5,100.0,100.0,99.45,80.0,100.0,89.67
estadistica-de-quejas-peticiones-sugerencias-y-o-reconocimientos-del-sistema-opinared,Asistencia Social,Contraloría y Transparencia Gubernamental,CSV,3218,14,2026-04-07T16:14:24.159421,,,[],99.71,100.0,88.5,68.92,99.45,80.0,100.0,93.67
capacitaciones-fidecitrus-enero-agosto-2025,Sin categoría,Fideicomiso Para el Desarrollo de la Zona Citrícola,CSV,28,7,2026-03-30T19:35:53.309990,,,[],100.0,82.86,100.0,0.0,99.01,80.0,100.0,85.67
capacitaciones-fidecitrus-enero-agosto-2025,Sin categoría,Fideicomiso Para el Desarrollo de la Zona Citrícola,CSV,7,2,2026-03-30T19:35:53.309990,,,[],50.0,100.0,100.0,100.0,99.01,80.0,100.0,82.95
2025_diccionario_prestamos_ejercidos_fovileonedu,Sin categoría,Fideicomiso Fondo para la Vivienda de los Trabajadores de la Educación y el Estado (FOVILEON),.CSV,10,7,2026-03-30T16:45:50.859442,,,[],100.0,88.57,100.0,100.0,99.01,70.0,60.0,91.29
2025_diccionario_prestamos_ejercidos_fovileonedu,Sin categoría,Fideicomiso Fondo para la Vivienda de los Trabajadores de la Educación y el Estado (FOVILEON),.CSV,7,6,2026-03-30T16:45:50.859442,,,[],83.33,94.17,100.0,100.0,99.01,70.0,60.0,87.69
2025_prestamos_ejercidos_fovileonedo,Sin categoría,Fideicomiso Fondo para la Vivienda de los Trabajadores de la Educación y el Estado (FOVILEON),.CSV,10,7,2026-03-27T17:29:19.088177,,,[],100.0,88.57,100.0,100.0,98.85,70.0,60.0,91.28
2025_prestamos_ejercidos_fovileonedo,Sin categoría,Fideicomiso Fondo para la Vivienda de los Trabajadores de la Educación y el Estado (FOVILEON),.CSV,7,6,2026-03-27T17:29:19.088177,,,[],83.33,94.17,100.0,100.0,98.85,70.0,60.0,87.68
centro-estatal-de-becas,Sin categoría,Centro Estatal de Becas,.CSV,30,12,2026-03-27T17:01:56.937810,,,[],92.22,80.42,100.0,100.0,98.85,80.0,60.0,87.91
centro-estatal-de-becas,Sin categoría,Centro Estatal de Becas,.CSV,11,6,2026-03-27T17:01:56.937810,,,[],83.33,94.17,99.5,100.0,98.85,80.0,60.0,88.61
registros-programa-impulso-nuevo-leon,Sin categoría,Fideicomiso Fondo de Apoyo para la Creación y Consolidación del Empleo Productivo en el Estado de Nuevo León (FOCRECE),CSV,1444,10,2026-03-26T22:16:33.673346,,,[],92.31,95.0,100.0,97.78,98.79,50.0,65.0,88.75
registros-programa-impulso-nuevo-leon,Sin categoría,Fideicomiso Fondo de Apoyo para la Creación y Consolidación del Empleo Productivo en el Estado de Nuevo León (FOCRECE),CSV,8,6,2026-03-26T22:16:33.673346,,,[],83.33,96.67,100.0,100.0,98.79,50.0,65.0,86.66
matricula-de-alumnos,Educación,Universidad Tecnológica Linares,CSV,12,17,2026-03-26T19:59:13.095235,,,[],100.0,100.0,100.0,100.0,98.79,70.0,100.0,96.94
matricula-de-alumnos,Educación,Universidad Tecnológica Linares,CSV,17,6,2026-03-26T19:59:13.095235,,,[],77.45,88.33,99.5,100.0,98.79,70.0,100.0,87.18
nuevo-leon-al-dia,Transparencia y Combate a la Corrupción,Oficina de Comunicación del Ejecutivo del Estado,CSV,175,7,2026-03-26T15:32:02.685061,,,[],99.02,100.0,100.0,100.0,98.79,70.0,100.0,96.65
